prot_name,rmsd
AcrR_4_model_0,1.1908257007598877
AcrR_36_model_0,1.6605141162872314
AcrR_56_model_0,1.448291540145874
AcrR_51_model_0,1.3521069288253784
AcrR_1_model_0,1.1821959018707275
AcrR_50_model_0,1.4388922452926636
AcrR_37_model_0,1.685194492340088
AcrR_20_model_0,1.9164619445800781
AcrR_55_model_0,1.5372682809829712
AcrR_22_model_0,1.280579686164856
AcrR_8_model_0,1.272926688194275
AcrR_24_model_0,1.1712390184402466
AcrR_5_model_0,1.2310611009597778
AcrR_52_model_0,1.4529446363449097
AcrR_6_model_0,1.1838271617889404
AcrR_40_model_0,1.632529616355896
AcrR_2_model_0,1.4449727535247803
AcrR_3_model_0,1.2984721660614014
AcrR_34_model_0,1.5753211975097656
AcrR_7_model_0,1.467860460281372
AcrR_21_model_0,1.4170734882354736
AcrR_33_model_0,1.740918517112732
AcrR_35_model_0,1.6524369716644287
AcrR_49_model_0,1.2145172357559204
AcrR_39_model_0,1.5087183713912964
AcrR_54_model_0,1.4638113975524902
AcrR_53_model_0,1.5957797765731812
AcrR_19_model_0,1.5236443281173706
AcrR_18_model_0,1.9558005332946777
AcrR_38_model_0,1.4574570655822754
AcrR_23_model_0,1.4397372007369995
AcrR_17_model_0,1.3150975704193115
